query	match_type	depth	rank	name	taxon_id
2044563	organism	0	life	Life	1
2044563	organism	1	undefined	Eukaryota	2
2044563	organism	2	undefined	Diaphoretickes	836
2044563	organism	3	undefined	Provora	23735
2044563	organism	4	undefined	Nebulidia	23737
2044563	organism	5	genus	Ancoracysta	23739
2044563	organism	6	species	Ancoracysta twista	23740
2762	organism	0	life	Life	1
2762	organism	1	undefined	Eukaryota	2
2762	organism	2	undefined	Diaphoretickes	836
2762	organism	3	undefined	Archaeplastida	864
2762	organism	4	undefined	Glaucophyta	22490
2762	organism	5	family	Cyanophoraceae	22493
2762	organism	6	genus	Cyanophora	22494
2762	organism	7	species	Cyanophora paradoxa	22502
38271	organism	0	life	Life	1
38271	organism	1	undefined	Eukaryota	2
38271	organism	2	undefined	Diaphoretickes	836
38271	organism	3	undefined	Archaeplastida	864
38271	organism	4	undefined	Glaucophyta	22490
38271	organism	5	family	Glaucocystaceae	22521
38271	organism	6	genus	Glaucocystis	22522
38271	organism	7	species	Glaucocystis nostochinearum	22546
2584957	organism	0	life	Life	1
2584957	organism	1	undefined	Eukaryota	2
2584957	organism	2	undefined	Diaphoretickes	836
2584957	organism	3	undefined	Archaeplastida	864
2584957	organism	4	undefined	'PRR clade'	865
2584957	organism	5	phylum	Rhodelphidia	901
2584957	organism	6	genus	Rhodelphis	903
2584957	organism	7	species	Rhodelphis marinus	906
35688	organism	0	life	Life	1
35688	organism	1	undefined	Eukaryota	2
35688	organism	2	undefined	Diaphoretickes	836
35688	organism	3	undefined	Archaeplastida	864
35688	organism	4	undefined	'PRR clade'	865
35688	organism	5	undefined	Rhodophyta	910
35688	organism	6	undefined	Proteorhodophytina	9129
35688	organism	7	class	Porphyridiophyceae	9226
35688	organism	8	order	Porphyridiales	9227
35688	organism	9	genus	Porphyridium	9233
35688	organism	10	species	Porphyridium purpureum	9235
45157	organism	0	life	Life	1
45157	organism	1	undefined	Eukaryota	2
45157	organism	2	undefined	Diaphoretickes	836
45157	organism	3	undefined	Archaeplastida	864
45157	organism	4	undefined	'PRR clade'	865
45157	organism	5	undefined	Rhodophyta	910
45157	organism	6	undefined	Cyanidiophytina	919
45157	organism	7	class	Cyanidiophyceae	920
45157	organism	8	order	Cyanidioschyzonales	930
45157	organism	9	genus	Cyanidioschyzon	933
45157	organism	10	species	Cyanidioschyzon merolae	934
130081	organism	0	life	Life	1
130081	organism	1	undefined	Eukaryota	2
130081	organism	2	undefined	Diaphoretickes	836
130081	organism	3	undefined	Archaeplastida	864
130081	organism	4	undefined	'PRR clade'	865
130081	organism	5	undefined	Rhodophyta	910
130081	organism	6	undefined	Cyanidiophytina	919
130081	organism	7	class	Cyanidiophyceae	920
130081	organism	8	order	Galdieriales	935
130081	organism	9	genus	Galdieria	936
130081	organism	10	species	Galdieria sulphuraria	939
3055	organism	0	life	Life	1
3055	organism	1	undefined	Eukaryota	2
3055	organism	2	undefined	Diaphoretickes	836
3055	organism	3	undefined	Archaeplastida	864
3055	organism	4	undefined	Chloroplastida	9339
3055	organism	5	undefined	Chlorophyta	9340
3055	organism	6	undefined	'core chlorophytes'	9341
3055	organism	7	class	Chlorophyceae	9394
3055	organism	8	order	Chlamydomonadales	9713
3055	organism	9	family	Chlamydomonadaceae	9787
3055	organism	10	genus	Chlamydomonas	9894
3055	organism	11	species	Chlamydomonas reinhardtii	10327
41880	organism	0	life	Life	1
41880	organism	1	undefined	Eukaryota	2
41880	organism	2	undefined	Diaphoretickes	836
41880	organism	3	undefined	Archaeplastida	864
41880	organism	4	undefined	Chloroplastida	9339
41880	organism	5	undefined	Chlorophyta	9340
41880	organism	6	order	Pseudoscourfieldiales	17257
41880	organism	7	family	Pycnococcaceae	17258
41880	organism	8	genus	Pycnococcus	17261
41880	organism	9	species	Pycnococcus provasolii	17263
554065	organism	0	life	Life	1
554065	organism	1	undefined	Eukaryota	2
554065	organism	2	undefined	Diaphoretickes	836
554065	organism	3	undefined	Archaeplastida	864
554065	organism	4	undefined	Chloroplastida	9339
554065	organism	5	undefined	Chlorophyta	9340
554065	organism	6	undefined	'core chlorophytes'	9341
554065	organism	7	class	Trebouxiophyceae	13982
554065	organism	8	order	Chlorellales	13986
554065	organism	9	family	Chlorellaceae	13989
554065	organism	10	genus	Chlorella	14029
554065	organism	11	species	Chlorella variabilis	14056
69332	organism	0	life	Life	1
69332	organism	1	undefined	Eukaryota	2
69332	organism	2	undefined	Diaphoretickes	836
69332	organism	3	undefined	Archaeplastida	864
69332	organism	4	undefined	Chloroplastida	9339
69332	organism	5	undefined	Streptophyta	17433
69332	organism	6	undefined	'core streptophytes'	17470
69332	organism	7	undefined	Phragmoplastophyta	17536
69332	organism	8	class	Charophyceae	17537
69332	organism	9	order	Charales	17538
69332	organism	10	family	Characeae	17539
69332	organism	11	genus	Chara	17544
69332	organism	12	species	Chara braunii	17562
41882	organism	0	life	Life	1
41882	organism	1	undefined	Eukaryota	2
41882	organism	2	undefined	Diaphoretickes	836
41882	organism	3	undefined	Archaeplastida	864
41882	organism	4	undefined	Chloroplastida	9339
41882	organism	5	undefined	Streptophyta	17433
41882	organism	6	undefined	'CM clade'	17434
41882	organism	7	class	Mesostigmatophyceae	17442
41882	organism	8	genus	Mesostigma	17443
41882	organism	9	species	Mesostigma viride	17444
190327	organism	0	life	Life	1
190327	organism	1	undefined	Eukaryota	2
190327	organism	2	undefined	'CRuMs'	4
190327	organism	3	undefined	'CR clade'	5
190327	organism	4	family	Collodictyonidae	6
190327	organism	5	genus	Diphylleia	22
190327	organism	6	species	Diphylleia rotans	23
1122280	organism	0	life	Life	1
1122280	organism	1	undefined	Eukaryota	2
1122280	organism	2	undefined	'CRuMs'	4
1122280	organism	3	undefined	'CR clade'	5
1122280	organism	4	order	Rigifilida	28
1122280	organism	5	genus	Rigifila	32
1122280	organism	6	species	Rigifila ramosa	33
233186	organism	0	life	Life	1
233186	organism	1	undefined	Eukaryota	2
233186	organism	2	undefined	Diaphoretickes	836
233186	organism	3	undefined	Pancryptista	23324
233186	organism	4	undefined	Cryptista	23326
233186	organism	5	undefined	'CK clade'	23327
233186	organism	6	undefined	Cryptophyceae	23328
233186	organism	7	order	Cryptomonadales	23391
233186	organism	8	family	Cryptomonadaceae	23413
233186	organism	9	genus	Cryptomonas	23438
233186	organism	10	species	Cryptomonas curvata	23454
1255295	organism	0	life	Life	1
1255295	organism	1	undefined	Eukaryota	2
1255295	organism	2	undefined	Diaphoretickes	836
1255295	organism	3	undefined	Pancryptista	23324
1255295	organism	4	undefined	Cryptista	23326
1255295	organism	5	undefined	'CK clade'	23327
1255295	organism	6	undefined	Cryptophyceae	23328
1255295	organism	7	undefined	'goniomonads'	23341
1255295	organism	8	genus	'Gavonlea lineage'	23363
1255295	organism	9	species	Goniomonas avonlea	23364
652834	organism	0	life	Life	1
652834	organism	1	undefined	Eukaryota	2
652834	organism	2	undefined	Diaphoretickes	836
652834	organism	3	undefined	Pancryptista	23324
652834	organism	4	undefined	Cryptista	23326
652834	organism	5	genus	Palpitomonas	23728
652834	organism	6	species	Palpitomonas bilix	23729
3039	organism	0	life	Life	1
3039	organism	1	undefined	Eukaryota	2
3039	organism	2	undefined	Discoba	53740
3039	organism	3	undefined	Euglenozoa	53742
3039	organism	4	undefined	Euglenida	53758
3039	organism	5	undefined	'core euglenids'	53759
3039	organism	6	undefined	Olkaspira	53772
3039	organism	7	undefined	Spirocuta	53775
3039	organism	8	undefined	Euglenea	53805
3039	organism	9	undefined	Euglenophycidae	53808
3039	organism	10	order	Euglenales	53809
3039	organism	11	family	Euglenaceae	53810
3039	organism	12	genus	Euglena	53853
3039	organism	13	species	Euglena gracilis	53912
3037	organism	0	life	Life	1
3037	organism	1	undefined	Eukaryota	2
3037	organism	2	undefined	Discoba	53740
3037	organism	3	undefined	Euglenozoa	53742
3037	organism	4	undefined	Euglenida	53758
3037	organism	5	undefined	'core euglenids'	53759
3037	organism	6	undefined	Olkaspira	53772
3037	organism	7	undefined	Spirocuta	53775
3037	organism	8	undefined	Euglenea	53805
3037	organism	9	undefined	Euglenophycidae	53808
3037	organism	10	order	Euglenales	53809
3037	organism	11	family	Euglenaceae	53810
3037	organism	12	genus	Euglena	53853
3037	organism	13	species	Euglena longa	53935
505711	organism	0	life	Life	1
505711	organism	1	undefined	Eukaryota	2
505711	organism	2	undefined	Discoba	53740
505711	organism	3	order	Jakobida	55060
505711	organism	4	suborder	Andalucina	55061
505711	organism	5	family	Andaluciidae	55062
505711	organism	6	genus	Andalucia	55064
505711	organism	7	species	Andalucia godoyi	55067
48483	organism	0	life	Life	1
48483	organism	1	undefined	Eukaryota	2
48483	organism	2	undefined	Discoba	53740
48483	organism	3	order	Jakobida	55060
48483	organism	4	suborder	Histionina	55102
48483	organism	5	family	Histionidae	55106
48483	organism	6	genus	Reclinomonas	55111
48483	organism	7	species	Reclinomonas americana	55112
875863	organism	0	life	Life	1
875863	organism	1	undefined	Eukaryota	2
875863	organism	2	undefined	Discoba	53740
875863	organism	3	genus	Tsukubamonas	55149
875863	organism	4	species	Tsukubamonas globosa	55150
1460289	organism	0	life	Life	1
1460289	organism	1	undefined	Eukaryota	2
1460289	organism	2	undefined	Diaphoretickes	836
1460289	organism	3	undefined	Haptista	22563
1460289	organism	4	undefined	Haptophyta	22597
1460289	organism	5	class	Prymnesiophyceae	22705
1460289	organism	6	order	Prymnesiales	23198
1460289	organism	7	family	Chrysochromulinaceae	23204
1460289	organism	8	genus	Chrysochromulina	23205
1460289	organism	9	species	Chrysochromulina tobinii	23248
2027451	organism	0	life	Life	1
2027451	organism	1	undefined	Eukaryota	2
2027451	organism	2	undefined	Diaphoretickes	836
2027451	organism	3	undefined	'HM clade'	837
2027451	organism	4	phylum	Hemimastigophora	845
2027451	organism	5	family	Spironemidae	850
2027451	organism	6	genus	Hemimastix	851
2027451	organism	7	species	Hemimastix kukwesjijk	853
2853422	organism	0	life	Life	1
2853422	organism	1	undefined	Eukaryota	2
2853422	organism	2	order	Malawimonadida	55152
2853422	organism	3	family	Malawimonadidae	55158
2853422	organism	4	genus	Gefionella	55159
2853422	organism	5	species	Gefionella okellyi	55160
136089	organism	0	life	Life	1
136089	organism	1	undefined	Eukaryota	2
136089	organism	2	order	Malawimonadida	55152
136089	organism	3	family	Malawimonadidae	55158
136089	organism	4	genus	Malawimonas	55162
136089	organism	5	species	Malawimonas jakobiformis	55165
281847	organism	0	life	Life	1
281847	organism	1	undefined	Eukaryota	2
281847	organism	2	undefined	Amorphea	47
281847	organism	3	undefined	Obazoa	365
281847	organism	4	undefined	Opisthokonta	395
281847	organism	5	undefined	Nucletmycea	660
281847	organism	6	undefined	Fungi	661
281847	organism	7	undefined	'cryptomycota'	736
281847	organism	8	order	Rozellida	745
281847	organism	9	genus	Rozella	761
281847	organism	10	undefined	'Rallo group'	768
281847	organism	11	species	Rozella allomycis	771
691883	organism	0	life	Life	1
691883	organism	1	undefined	Eukaryota	2
691883	organism	2	undefined	Amorphea	47
691883	organism	3	undefined	Obazoa	365
691883	organism	4	undefined	Opisthokonta	395
691883	organism	5	undefined	Nucletmycea	660
691883	organism	6	order	Rotosphaerida	788
691883	organism	7	genus	Fonticula	820
691883	organism	8	species	Fonticula alba	821
192875	organism	0	life	Life	1
192875	organism	1	undefined	Eukaryota	2
192875	organism	2	undefined	Amorphea	47
192875	organism	3	undefined	Obazoa	365
192875	organism	4	undefined	Opisthokonta	395
